persona,campo,ora_inizio,ora_fine,tariffa
FNTRFL42S59H639U,CAMPO021,14:00,15:00,10.53
MZZMCL39T44C567T,CAMPO045,12:00,13:00,12.81
FNTRFL42S59H639U,CAMPO006,17:00,18:00,11.99
CRLVCR40B04G335M,CAMPO049,11:00,12:00,10.04
GLTLVR97T19F766D,CAMPO038,13:00,14:00,11.2
LCRFRC30P02I292T,CAMPO018,09:00,10:00,12.17
RTCNCL38L66I899C,CAMPO025,11:00,12:00,10.03
GSSMRL90B47B758E,CAMPO002,14:00,15:00,11.41
SLTRFL31L21D766D,CAMPO042,18:00,19:00,11.42
SRESYV46P24A965O,CAMPO024,14:00,15:00,14.04
PZZLME65R58E536P,CAMPO024,14:00,15:00,10.21
BBGNNS07B09B428X,CAMPO035,11:00,12:00,10.15
BTTRFL78H50H675I,CAMPO026,13:00,14:00,11.6
CRLVCR40B04G335M,CAMPO014,15:00,16:00,13.4
MZZMCL39T44C567T,CAMPO036,15:00,16:00,14.74
NDRRSL63C13I202Q,CAMPO001,13:00,16:00,33.94
MNTCNT43C15F147N,CAMPO016,16:00,17:00,13.74
CRLVCR40B04G335M,CAMPO028,17:00,18:00,10.78
GRNGSV39M49M377L,CAMPO045,08:00,09:00,10.84
MZZGFR53P55L172G,CAMPO021,09:00,10:00,12.04
SCRRMD90P69E498W,CAMPO034,18:00,19:00,11.1
FRRCLD00E56F239H,CAMPO025,13:00,14:00,11.26
SLTRFL31L21D766D,CAMPO028,17:00,18:00,11.65
PVRLNE81R13C727L,CAMPO011,16:00,19:00,34.55
SNSGRC45T71F106E,CAMPO006,17:00,19:00,20.81
NCLGSV25R44B203F,CAMPO024,14:00,16:00,22.84
MGGJCP84D69I643D,CAMPO004,17:00,18:00,10.12
MLPBRC37E23A519G,CAMPO024,11:00,12:00,13.25
BTTPRC08B07B138D,CAMPO008,09:00,10:00,14.23
PZZLME65R58E536P,CAMPO045,13:00,14:00,14.13
MNTCNT43C15F147N,CAMPO001,15:00,16:00,12.18
VNLBLD08B64E040R,CAMPO045,12:00,13:00,11.12
LCRFRC30P02I292T,CAMPO011,16:00,18:00,22.83
RTCNCL38L66I899C,CAMPO021,14:00,15:00,11.36
CTLLND16D15G859K,CAMPO029,14:00,15:00,14.64
RSTMRN54A10C555W,CAMPO026,13:00,14:00,10.65
CNVRTR51S60L506S,CAMPO045,12:00,14:00,20.06
CSTFBA97T13C080A,CAMPO011,10:00,11:00,12.35
MZZGFR53P55L172G,CAMPO011,09:00,10:00,10.0
TNNBNT63P41B720D,CAMPO007,12:00,13:00,13.64
CSRFBA42A09D621L,CAMPO029,09:00,10:00,13.9
TNNBNT63P41B720D,CAMPO049,11:00,12:00,13.44
CTLGVN53C01E026W,CAMPO004,10:00,11:00,12.06
PTRSNN22T41A863I,CAMPO009,15:00,16:00,11.18
BTTPRC08B07B138D,CAMPO021,14:00,15:00,12.32
FRRCLD00E56F239H,CAMPO011,09:00,10:00,10.18
NCLGSV25R44B203F,CAMPO025,18:00,19:00,10.99
TMBCLD34H25A957R,CAMPO006,18:00,19:00,10.12
MCCLGN24M22H920Z,CAMPO049,18:00,19:00,14.48
NPLRNT59B61C860V,CAMPO014,14:00,16:00,20.25
NCLGSV25R44B203F,CAMPO014,09:00,10:00,10.38
GLTLVR97T19F766D,CAMPO025,17:00,19:00,23.8
CMPDLA89D15H442X,CAMPO001,14:00,16:00,22.35
RMNDRA85D64L859X,CAMPO025,13:00,16:00,31.47
SCRRMD90P69E498W,CAMPO025,18:00,19:00,14.63
GLTSTN64P13C561G,CAMPO012,18:00,19:00,11.73
NTNGLN96T64H917C,CAMPO028,12:00,13:00,12.25
RCCGSP72C31L707Q,CAMPO028,12:00,14:00,23.94
PRGNCI60M53G119E,CAMPO024,15:00,16:00,13.9
CRLVCR40B04G335M,CAMPO001,13:00,16:00,31.59
CSTTNI63R20E791N,CAMPO007,09:00,10:00,13.96
NVIGLS13A49H825C,CAMPO025,13:00,15:00,21.55
NSTJLD78B04G074V,CAMPO042,10:00,11:00,12.99
VNDGLN28B13I290T,CAMPO011,17:00,18:00,13.18
PRGNCI60M53G119E,CAMPO002,16:00,17:00,12.51
LCRFRC30P02I292T,CAMPO025,13:00,16:00,30.39
BTTTRT28M66F162R,CAMPO028,17:00,18:00,14.29
TRTLSI58C12E911E,CAMPO007,12:00,13:00,14.14
GRTTZN63M14B891U,CAMPO029,09:00,10:00,11.05
RCCGSP72C31L707Q,CAMPO034,18:00,19:00,13.62
PTRSNN22T41A863I,CAMPO028,13:00,14:00,10.12
TMBCLD34H25A957R,CAMPO014,09:00,10:00,12.37
BSSBTN30R24B932K,CAMPO022,17:00,18:00,11.46
MRSRGR79R44G020X,CAMPO026,13:00,14:00,10.18
CSTFBA97T13C080A,CAMPO025,18:00,19:00,10.27
NPLRNT59B61C860V,CAMPO002,14:00,15:00,11.38
PRGNCI60M53G119E,CAMPO032,11:00,12:00,13.7
PNCJCP35S49G556I,CAMPO014,14:00,16:00,24.53
PRZMRL59P49I644E,CAMPO006,18:00,19:00,13.51
FNTRFL42S59H639U,CAMPO025,17:00,19:00,24.57
NDRRSL63C13I202Q,CAMPO021,11:00,12:00,12.02
GSSMRL90B47B758E,CAMPO025,09:00,10:00,10.42
PZZLME65R58E536P,CAMPO001,14:00,16:00,24.58
TMBMRN55B44F840P,CAMPO028,13:00,14:00,10.73
TNNBNT63P41B720D,CAMPO017,15:00,16:00,11.2
FRRCLD00E56F239H,CAMPO006,10:00,11:00,11.51
VNLBLD08B64E040R,CAMPO045,13:00,14:00,14.59
PTRSNN22T41A863I,CAMPO014,08:00,11:00,33.13
MRSRGR79R44G020X,CAMPO011,09:00,10:00,12.53
PRZMRL59P49I644E,CAMPO016,18:00,19:00,14.29
FNTRFL42S59H639U,CAMPO029,08:00,09:00,11.7
BRSRMN48R47G618I,CAMPO038,13:00,14:00,11.46
NTNGLN96T64H917C,CAMPO042,15:00,16:00,13.8
BSSBTN30R24B932K,CAMPO024,14:00,15:00,14.72
VNLBLD08B64E040R,CAMPO029,09:00,10:00,12.91
RCCGSP72C31L707Q,CAMPO004,13:00,14:00,14.22
RCCSTN11M20M361D,CAMPO024,14:00,15:00,13.15
CMPDLA89D15H442X,CAMPO013,13:00,14:00,14.29
BTTRFL78H50H675I,CAMPO028,10:00,11:00,13.2
PSCBLD77S61D548L,CAMPO025,18:00,20:00,22.92
PGLNTN80R29A713Y,CAMPO014,15:00,16:00,10.85
TRCTTE90L21E581V,CAMPO047,11:00,12:00,11.85
RTCNCL38L66I899C,CAMPO014,10:00,11:00,10.27
CSTTNI63R20E791N,CAMPO006,18:00,19:00,14.3
NDRVNS02S03G415L,CAMPO025,17:00,18:00,13.25
PVNMCL00B63H059Q,CAMPO028,15:00,16:00,13.82
NPLRNT59B61C860V,CAMPO032,11:00,12:00,12.21
GLTSTN64P13C561G,CAMPO028,17:00,18:00,12.1
GRGVNL79B28F146O,CAMPO021,09:00,10:00,13.09
CSRFBA42A09D621L,CAMPO001,14:00,16:00,22.41
BTTPRC08B07B138D,CAMPO035,11:00,12:00,12.0
RMNDRA85D64L859X,CAMPO025,17:00,20:00,32.72
CCRGSN77L53A601X,CAMPO021,14:00,16:00,24.75
RGNSRS53E64B790Q,CAMPO014,09:00,11:00,22.0
TRCTTE90L21E581V,CAMPO011,16:00,17:00,10.18
MZZMCL39T44C567T,CAMPO019,09:00,10:00,13.06
PSCBLD77S61D548L,CAMPO001,14:00,15:00,14.9
TNNBNT63P41B720D,CAMPO025,08:00,09:00,10.53
PSCBLD77S61D548L,CAMPO040,08:00,09:00,11.94
BTTRFL78H50H675I,CAMPO001,15:00,16:00,10.93
VNLBLD08B64E040R,CAMPO038,11:00,12:00,12.5
FNTRFL42S59H639U,CAMPO001,13:00,15:00,22.7
FRRCLD00E56F239H,CAMPO025,18:00,20:00,25.0
NOIDNG52L60L061W,CAMPO019,14:00,15:00,10.36
NDRRSL63C13I202Q,CAMPO011,09:00,10:00,11.79
TNCCRL76L48D569Q,CAMPO014,08:00,11:00,30.93
GRNDMN76B66D239G,CAMPO031,09:00,10:00,11.49
LPPGLT97H11F337Z,CAMPO002,16:00,17:00,11.27
GLTLVR97T19F766D,CAMPO029,09:00,10:00,12.37
MLPBRC37E23A519G,CAMPO022,15:00,16:00,13.37
ZRLDMA40L64B091A,CAMPO002,17:00,18:00,13.04
NVNFRN56R43E924F,CAMPO011,16:00,19:00,34.97
ZRLDMA40L64B091A,CAMPO025,11:00,12:00,13.64
CTLGVN53C01E026W,CAMPO005,18:00,19:00,12.8
RMNDRA85D64L859X,CAMPO018,09:00,10:00,13.34
MZZMCL39T44C567T,CAMPO011,09:00,10:00,11.8
TDSDNL07S25B218U,CAMPO011,09:00,10:00,10.57
SCTVLR43A15B501H,CAMPO025,17:00,18:00,10.08
CSRFBA42A09D621L,CAMPO027,09:00,10:00,10.86
CNVRTR51S60L506S,CAMPO014,08:00,09:00,13.26
ZRLDMA40L64B091A,CAMPO038,13:00,14:00,10.69
BDGGDI52R15B756K,CAMPO045,13:00,14:00,11.26
CNVRTR51S60L506S,CAMPO045,13:00,14:00,11.16
BTTRFL78H50H675I,CAMPO049,11:00,12:00,12.47
NDRVNS02S03G415L,CAMPO040,15:00,16:00,13.43
CSRFBA42A09D621L,CAMPO005,18:00,19:00,10.22
BRSRMN48R47G618I,CAMPO021,09:00,10:00,14.92
CNVRTR51S60L506S,CAMPO040,08:00,09:00,13.15
MGGJCP84D69I643D,CAMPO031,09:00,10:00,13.83
LPPGLT97H11F337Z,CAMPO045,08:00,09:00,10.52
MCCLGN24M22H920Z,CAMPO014,14:00,16:00,23.54
GLTSTN64P13C561G,CAMPO013,13:00,14:00,10.8
LNTLSU98B10G625L,CAMPO026,13:00,14:00,14.05
CNVRTR51S60L506S,CAMPO014,08:00,09:00,11.59
ZRLDMA40L64B091A,CAMPO016,16:00,17:00,14.88
GSSMRL90B47B758E,CAMPO006,18:00,19:00,13.94
PRZMRL59P49I644E,CAMPO021,14:00,16:00,20.53
BTTPRC08B07B138D,CAMPO042,18:00,19:00,13.17
GRGMNL45P63H014I,CAMPO049,17:00,19:00,23.22
NDRRSL63C13I202Q,CAMPO025,17:00,19:00,23.39
PPETTV44T45B606A,CAMPO021,09:00,10:00,13.0
BSSBTN30R24B932K,CAMPO025,18:00,20:00,21.68
GDNPSL45A62I007Y,CAMPO028,10:00,11:00,12.83
PZZLME65R58E536P,CAMPO002,16:00,17:00,14.7
PSCBLD77S61D548L,CAMPO014,14:00,16:00,24.81
CSRFBA42A09D621L,CAMPO022,15:00,16:00,14.86
VLNMLN29A25D684F,CAMPO016,16:00,17:00,11.65
CRLVCR40B04G335M,CAMPO021,09:00,10:00,14.87
