codice_fiscale,nome,cognome,eta,sesso,immatricolato
CMBTTV14R50C801G,Roberto,Falcone,22,M,false
GRSSRS40R61F600C,Romina,Innocenti,13,F,false
FRRMCL61C42B246R,Gianmarco,Agostini,21,M,true
CHNCRN19M22E887H,Ettore,Ruggieri,16,M,false
BRRMSM71C60M398I,Santino,Bonanno,19,M,true
GRMDRN94R43A330Z,Eleanora,Prati,22,F,true
RCCVLT41L12F165Z,Michela,Bettoni,15,F,false
GCCSNT80D59G986Z,Valentina,Anastasi,16,F,false
GRZDRN99A09E649T,Martino,Contarini,12,M,false
BRZRMN87C03L775S,Michela,Sobrero,11,F,false
BRRLCU59C53L293C,Telemaco,Piccinni,18,M,false
PNMGRG06H56B868N,Marina,Gadda,23,F,true
DVRMRK05S58B756Q,Milo,Montanariello,19,M,true
NCHLLL15P05G858F,Licia,Briccialdi,12,F,false
TRCMRT45R01D808I,Susanna,Cattaneo,30,F,false
GRRLDC13T14D455N,Ida,Trebbi,22,F,true
CTRCPN37H61I412G,Isabella,Staglieno,24,F,true
FRRPRN14P58F294D,Michele,Parri,22,M,false
BSNNTL42A25F274Z,Tiziana,Cimini,20,F,true
CNCJLD65A12D559E,Ezio,Cesarotti,18,M,false
CSTGDU23D50D998N,Marissa,Renier,21,F,true
DLLVTR41P57F395N,Carolina,Pisaroni,20,F,true
RGNMRN03M14H011E,Amadeo,Trombetta,30,M,true
CRQLPD01D43F119O,Angelina,Ferrata,11,F,false
MNTRCT28E65L771G,Luchino,Galiazzo,14,M,false
CCCDNN93P09H218Y,Galasso,Giolitti,17,M,false
SNDGNT77R60B101N,Sergius,Parini,15,M,false
SCDNRC10E64D636A,Torquato,Storladi,17,M,false
TRPLNE85S53F113A,Anita,Migliaccio,18,F,false
GLNMLS24B12E743X,Isa,Esposito,16,F,false
RTHTTN60T50E056U,Martina,Moresi,15,F,false
LNRHGU57C47D316J,Pierangelo,Bettoni,30,M,true
DSCRMI14E01E342C,Agostino,Ubaldi,30,M,true
CMCGDI29E01G551M,Fiorino,Fogazzaro,20,M,true
TSOLNR42L25C741O,Piero,Traetta,13,M,false
RNCRBT94P12B649H,Leopoldo,Marazzi,16,M,false
ZCCCLL81A06I661I,Vincentio,Nicolucci,14,M,false
STNSLV22P06I244P,Giacobbe,Giannetti,26,M,true
MRCGLR32R42B006G,Marissa,Volterra,18,F,false
TRCMLE88C66I489Z,Filippo,Crisafulli,17,M,false
TRPRNZ90P59B779K,Allegra,Mazzini,25,F,true
GLVLPD90A44G612L,Rosaria,Druso,18,F,false
BNNGLN89M66A759K,Salvi,Muti,16,M,false
FLZVNL30D13B171Z,Pier,Germano,17,M,false
CLVVIO39B51E573C,Eliana,Ravaglioli,20,F,true
SLVRMI58S08L366L,Annetta,Chiaramonte,24,F,true
NTNMRN33L69E520X,Teresa,Cipolla,11,F,false
FDRMME25R13A768W,Jolanda,Filippini,15,F,false
MGRTZN16S20B845P,Annalisa,Matteotti,23,F,false
RSSNNI82P13L512L,Matteo,Luciani,14,M,false
SGRGRN51C41F251N,Paolo,Prodi,26,M,true
RLNBNN59H47C766R,Alessandra,Cilea,17,F,false
GNTGBL20S25D256P,Martino,Berengario,22,M,false
TLRCML89E21I314Y,Ciro,Ariosto,19,M,true
MDGRND31B59E422A,Chiara,Randazzo,14,F,false
PRNRSO66L03C595W,Benedetto,Guarato,11,M,false
BRZBNC47D30E638B,Paoletta,Papetti,29,F,true
RTLRDF98B48C480C,Beatrice,Pisano,23,F,true
MRZMRN37D09F462C,Lisa,Gigli,21,F,true
MNTLSS00P13G577L,Natalia,Romiti,27,F,true
GRNLSE42M15D333M,Pierangelo,Valguarnera,28,M,true
SCTRND68R49D455Y,Marina,Marini,18,F,false
DSETTN80R07B735C,Isabella,Cimini,18,F,false
PCLMRN86H69E931J,Loretta,Sanguineti,20,F,true
MZZRSL43R05M139T,Claudia,Schiavone,17,F,false
GBRCRT65C02B880I,Evangelista,Montanari,28,F,true
VNDVRL43S50A058V,Ludovico,Ferragamo,26,M,true
LSAGRN23E41H353T,Pierangelo,Bataglia,18,M,false
SCLRTI82H10F523U,Isabella,Ricolfi,28,F,true
FRMGST52S56I729Y,Eliana,Niscoromni,15,F,false
PLLGNR33M43F279I,Liliana,Tamburini,27,F,true
PRCNTN29T42C300I,Gian,Persico,19,M,true
STRDLA75D23L174H,Ciro,Zola,12,M,false
DNSLRA19L08E735Q,Matilda,Sinisi,25,F,true
FBBLBT17T55F947A,Giuliana,Lollobrigida,13,F,false
RRNGGL50B63H043S,Maria,Albertini,15,F,false
PSNFLP27M14F101G,Agostino,Rosiello,13,M,false
TLDGML37R50L156W,Bernardo,Scarlatti,27,M,true
FLLRFL99T63B867N,Marta,Ossani,12,F,false
TRNMDA14A46G848M,Sole,Barbarigo,22,F,false
NDAGRM64B63C143R,Gianni,Casaleggio,26,M,true
SLRRNL48D24E311W,Piergiorgio,Gagliano,22,M,true
CLVBNC31H14D310S,Melania,Carfagna,25,F,true
GRGGNG49L70B486M,Lilla,Cattaneo,22,F,true
PCLVRN59L05H971V,Luchino,Trentini,20,M,true
BRSGSV53C68G280E,Aurora,Sinisi,11,F,false
RGGVRL85E71H792R,Gianpaolo,Ortolani,11,M,false
TMSMME74B17G168M,Stefano,Rusticucci,27,M,true
SRDLLR70L20F578G,Luciano,Fusani,28,M,true
PRONCL46C42G110T,Santino,Marinetti,28,M,true
CRLNNT75B18H491P,Matteo,Romano,29,M,true
PVNNPN84C60G445K,Alphons,Mercantini,28,M,true
MNCBNC67B09C137U,Paola,Trapani,21,F,true
MNCSLT13B51G063B,Luciano,Sauli,12,M,false
TLRFDL44M47E170Q,Concetta,Parisi,27,F,true
BNNLDI76C26C975R,Piermaria,Bernini,23,M,true
TRCGNN35R14D938V,Annalisa,Montalti,13,F,false
BLLMLN07E02A701F,Ermes,Polani,28,M,true
FNTGNT39D68B862I,Giampiero,Inzaghi,22,M,true
FGGPNI81D18L509N,Gianfranco,Carnera,23,M,true
DPRLRN59E62D061K,Eliana,Spadafora,26,F,false
TCCNTN66S22E236Y,Enrico,Avogadro,25,M,false
MZZNTN65B08A670M,Fernanda,Dellucci,19,F,true
MRCCLL67A14A124X,Lazzaro,Boccherini,17,M,false
MNTBCC66T56E934P,Filippa,Bonino,16,F,false
BRLRCC34H58L937T,Giovanni,Vasari,19,M,true
CSSGDI68H14C857T,Maurilio,Sbarbaro,23,M,true
BBATTN51L26B698X,Nanni,Salgari,13,M,false
BLZGSN11L62M406N,Federica,Lollobrigida,16,F,false
TPLRST17B52I690B,Ivan,Nievo,29,M,false
SNTLNE74E19B906H,Ansaldo,Casellati,29,M,true
CLBLSU47M29I839L,Luciana,Fogazzaro,24,F,true
SPRRFL45R13A317B,Luigina,Babato,20,F,true
MNTDNG65P43H132T,Gloria,Trentin,17,F,false
VNRVNL77H19A905Y,Victoria,Casagrande,29,F,true
FRNGNE86C21E872R,Lina,Boccherini,26,F,true
MGLVLR31D23B019O,Antonietta,Beccaria,26,F,true
BRMTZN01M54D789R,Ermenegildo,Bresciani,16,M,false
SPNFDC52D22M423Q,Giulietta,Catalano,13,F,false
GNNTNI12P03C512Y,Pompeo,Cherubini,20,M,true
CLNCHL51E49I640M,Donato,Gadda,28,M,true
LLLVRN22R21B084T,Vincentio,Palombi,25,M,true
MGGRML68H59H949W,Giovanni,Piazzi,30,M,true
BRTFLV70H66H977M,Agnolo,Roero,17,M,false
TGLTNI47M21L728A,Enzio,Canevascini,11,M,false
RNCVNN27S64H826G,Antonietta,Falier,23,F,false
CHNNTN58B52B015P,Gianmarco,Malatesta,12,M,false
FFRSLS05A71G207E,Francesco,Aloisio,11,M,false
SPRVNC31L69H723U,Rosa,Gagliardi,13,F,false
SLLMTD54B13D688W,Roberta,Tosto,18,F,false
FGGNTT13C29E759C,Marcantonio,Tarchetti,15,M,false
GSTRMN10H45G377K,Antonietta,Jacuzzi,11,F,false
CSCBLS48M53L437I,Alessandro,Murri,19,M,true
PZZLCN97R12F776K,Gabriella,Guinizzelli,25,F,true
QSMRLD52E64B826M,Gionata,Nolcini,16,M,false
BRZBLD67C66I404S,Germana,Bulzoni,19,F,true
GLDLVR93R01H459P,Maria,Lettiere,30,F,true
SRNNNT83A27E398A,Gianpietro,Maccanelli,27,M,true
SCRBTC06T17G122N,Luigina,Peruzzi,14,F,false
GHUFRN55E04D321I,Nedda,Abate,27,F,true
NCLMRL60R42D185J,Delfino,Pedersoli,11,M,false
CFFMSM17S69C904H,Ivan,Sgalambro,24,M,true
GLTLND71E56I960B,Nedda,Bombieri,27,F,false
TRSLNI79H20F347F,Antonella,Balotelli,27,F,true
MRCNGC03M02F791Y,Adelmo,Falier,22,M,true
GSTFRD23S69E429Q,Virginia,Moresi,27,F,true
CHDBRC03L24F520S,Serafina,Errigo,27,F,true
TNNNCI85P64C673Q,Ottavio,Milanesi,29,M,true
BRSMRK36C56C422L,Gianpietro,Favata,25,M,true
PSQVRN60A17I599Y,Alfredo,Ajello,20,M,true
FSCTNO91P68D983W,Evangelista,Mezzetta,27,F,true
NGRRFL62R04I281A,Guglielmo,Sansoni,25,M,true
ZLORLD90D53I826X,Gloria,Vercelloni,15,F,false
CNTNCI06E64M081G,Valeria,Mascagni,25,F,false
MRLCLL35D07G620M,Roman,Basadonna,20,M,true
RBBRMI23S27L322M,Sebastiano,Lollobrigida,22,M,true
TRVTZN96E28D198C,Serena,Mantegazza,28,F,true
RNRGRN88B51I321B,Sylvia,Tamburini,25,F,true
MLPGLN52S05M379M,Micheletto,Miniati,30,M,true
BRGCSR73H55A801H,Adamo,Murialdo,15,M,false
DVRMLT68S59D008Z,Alfio,Quasimodo,29,M,true
RGGPRG24P50L392E,Giorgia,Borgia,14,F,false
PSNDRN71T19F906E,Rocco,Guarneri,26,M,true
PRTGCB58M43C466Y,Cecilia,Bixio,12,F,false
VLNVTR57E57G201Z,Tatiana,Alfieri,20,F,true
BTAMDA49L65C958X,Orlando,Ferrucci,14,M,false
MZZRFL70H29B630C,Evangelista,Morucci,11,F,false
MRCZRA74D13L686C,Mercedes,Ferrabosco,23,F,true
NNCNPN65D66C040T,Antonino,Bixio,26,M,true
RTCMRL84C70I088F,Isa,Dovara,28,F,false
MRCNTL74M02H240J,Giulietta,Nicoletti,12,F,false
BLLLLD93D61C430H,Amalia,Toldo,28,F,true
VSCRMN83S14C284T,Romina,Tamburi,23,F,true
DLLPTZ50H20L449Y,Liana,Cignaroli,24,F,true
BRMDRA94H05E422R,Michelangelo,Anichini,23,M,true
BSSCLC34H46L547A,Armando,Canetta,17,M,false
CMRGUO54M49L191L,Enzio,Turci,18,M,false
BRGRSO65E16A788I,Giuliano,Bajardi,27,M,true
SLLMLD57A02E761V,Stella,Fattori,23,F,true
SVRMLN15E29F906S,Lolita,Carnera,28,F,true
LNTGFR77H50G590N,Calcedonio,Doglioni,30,M,true
FNTFLV96C51F541Z,Camilla,Manunta,26,F,true
SGRLSU37E23E204P,Eliana,Ossani,18,F,false
TLNGNE80C21C819O,Federica,Michelangeli,29,F,false
DTTLCN73L15I873S,Alderano,Aldobrandi,12,M,false
CRDPRS52M56C598K,Romina,Mocenigo,26,F,false
TRBLDC83R66H459O,Valentina,Borromini,14,F,false
NTRFBA90R21I320X,Rossana,Rossi,23,F,true
SRMGRG81B46I977D,Ludovica,Prodi,22,F,true
BTTMLI40S62H227Q,Loredana,Seddio,11,F,false
FCNSMT55M24B492F,Azeglio,Antonelli,20,M,true
FBNNZE82D51E168G,Biagio,Pedersoli,29,M,true
TRVDLN48A52L016N,Morena,Mogherini,21,F,true
BNSTNO63P23F557S,Giuliana,Ruggeri,22,F,true
MRRVTR43P60C893Y,Valentina,Orengo,27,F,true
LGRRNF66P57I817V,Pierina,Antonini,26,F,false
MFFGBL43E13D371V,Dario,Canevascini,16,M,false
MTTHGU02H55C774K,Gemma,Saffi,16,F,false
SCLTNF48S64G316F,Adelasia,Abba,13,F,false
MRTSLS57T64I142Z,Silvio,Camicione,14,M,false
CPLZRA52M01F548B,Gioachino,Pietrangeli,16,M,false
SCRSLO13B09F839A,Renata,Gabrieli,15,F,false
CPCSMN19B59A881G,Giampaolo,Missoni,23,M,true
TRMCNT83B13H466B,Giuliana,Malaparte,22,F,true
BRSNTN92B29D574R,Nadia,Bova,28,F,true
MLTDIA02A29A150U,Maria,Garozzo,12,F,false
FNTPLN95C16D338V,Raffaellino,Ungaretti,26,M,false
RCCSNR54D30A192I,Francesca,Bernardi,25,F,false
LNGDLA04S07H166X,Gianfrancesco,Argentero,21,M,true
LDBMDA50P59E540M,Rossana,Caffarelli,20,F,true
TRNGLM64B16G148H,Lorenzo,Caboto,17,M,false
PRSCNT31D13C470L,Maurizio,Randazzo,29,M,false
FLRBGI59R47C506H,Stefani,Vittadello,12,F,false
BRSNNR06M22I210W,Niccolò,Santorio,25,M,true
RGNNTN10T21B861M,Isabella,Fibonacci,21,F,true
SMLTRS15S13B486B,Irma,Ungaretti,30,F,true
PRODRN31C49B968K,Raimondo,Foà,17,M,false
BNSPTR96H64A782E,Iolanda,Donati,29,F,true
CRMCTN18R26H527L,Tiziana,Cannizzaro,20,F,true
MSPVRC56B20L843D,Romina,Dibiasi,19,F,true
PRTRLD05B44A121B,Arnulfo,Bocca,26,M,true
LNZLSS38T61D920N,Valentina,Vigliotti,28,F,true
PCCNNL69M67A338S,Carolina,Monicelli,28,F,true
BRLLVR85R17F393H,Lara,Veltroni,18,F,false
SMMNDD43C23H855F,Zaira,Miniati,18,F,false
MNRRNZ04A50C939E,Gloria,Ruggeri,29,F,true
SMNDRN11S15C867J,Vincenza,Morucci,12,F,false
SCRLCU82H48C086P,Alfredo,Cuda,13,M,false
BLLMNL22R43B978C,Fabia,Lattuada,23,F,true
TRPGUO70R54B603C,Fabio,Broggini,12,M,false
TRTRTR45C48E989H,Romana,Tamburello,20,F,true
PRTGBL18L23G157W,Carmelo,Marsili,20,M,false
BRSRCR14M60C879Q,Erika,Zichichi,16,F,false
RMGRZO40R70G325M,Manuel,Baresi,26,M,true
VNZCHR66M02F992K,Leonardo,Ciani,30,M,true
ZLOMME08L11D741N,Giulio,Pietrangeli,26,M,false
CBRRTR95S60E439O,Gianpietro,Buonauro,25,M,true
MNLLNE39H06F041Y,Gianfranco,Foconi,28,M,true
BGNRTR27A60C472N,Ermenegildo,Forza,19,M,true
FBBRSL05S09A437S,Adriano,Fibonacci,24,M,true
VLLSNT69A48I774P,Renzo,Pavone,19,M,true
GRNSNR18D47F310B,Emilio,Pucci,29,M,true
NTNSYV01R29L116A,Francesca,Porcellato,13,F,false
BTTRLD18T65L024R,Annunziata,Cicala,24,F,true
JLNPRC01S25L963V,Vittorio,Maffei,25,M,true
GRRLNR83S19H781U,Lina,Guicciardini,11,F,false
LNERBT78H55L197D,Enzo,Contarini,16,M,false
MRSRSL45S30E782V,Martina,Contarini,22,F,true
NDRPMP12L59I433I,Arnaldo,Trebbi,20,M,true
FRNDNL81B20C614E,Vittoria,Gotti,18,F,false
GSSLBT92T54F441O,Cipriano,Duse,15,M,false
CNTGSN23T43H273S,Temistocle,Saracino,23,M,true
CCCLSE92R01F930W,Pina,Pacillo,12,F,false
MNGMRN33A25M141R,Arturo,Ottino,11,M,false
NNLSMT64S03L421W,Ferdinando,Giulietti,29,M,true
FDRTTE80T31L580A,Antonietta,Gabba,16,F,false
SPDGLI60R11D994O,Veronica,Ciampi,25,F,true
MSTLCN97E41D312G,Giulietta,Baracca,14,F,false
BSRMLN78R16M419R,Griselda,Granatelli,18,F,false
CRLCRL99M14L653N,Guglielmo,Olivetti,16,M,false
SNTGST50B57I451D,Romana,Luciani,27,F,true
MRPDNL68M07G299P,Laura,Marenzio,30,F,true
SLNMTD08L28B417E,Martina,Bongiorno,11,F,false
PMTRND40S42I187C,Amedeo,Trobbiani,13,M,false
PGLBNT04B46C248D,Amanda,Lanfranchi,28,F,true
SBLVEA34R05B121E,Michela,Borsiere,12,F,false
CRTDLN80C59I684Q,Loretta,Nolcini,24,F,true
TSCLLN63M30E329J,Danilo,Ughi,24,M,true
BNDRBT06D15H213A,Giovanni,Marzorati,16,M,false
SCHTLC02M64E064I,Salvatore,Micheletti,21,M,true
SCHBRR62P55L554D,Filippa,Aporti,18,F,false
GRFNNI17D26C413G,Emma,Bassi,23,F,true
CVNVTI95T52F359V,Romeo,Coardi,29,M,false
BTGGRL77D21H845F,Angelica,Zacchia,24,F,true
SCLBNC98D11B109W,Paola,Caboto,13,F,false
GLDMRT75D01I031J,Ottone,Valguarnera,23,M,true
RGNVRC38T14G771E,Coluccio,Scalera,16,M,false
NSTGRL71M09H599C,Umberto,Ludovisi,17,M,false
BRGGLT93B04D940T,Giacobbe,Maggioli,30,M,true
VLLGRL14P30F913R,Nedda,Gentilini,12,F,false
GNNLFA77H47D412W,Guarino,Binaghi,25,M,true
VLTRSO39S14F951R,Simone,Ponti,24,M,true
CCCPRN06E18I062A,Greca,Gremese,28,F,true
NTRCSN71S20G022R,Tonia,Asprucci,22,F,true
GCCBNT29H47L907H,Umberto,Cignaroli,20,M,true
NCHVNN33L01E875U,Lara,Mozart,25,F,false
NSTRMN24L05I448K,Costanzo,Torlonia,19,M,true
PZZDNL68A24D284P,Luisa,Cardano,21,F,true
GBBMRN72A51L815O,Emma,Armani,24,F,true
STRFDL08R50E482H,Eugenia,Falcone,29,F,true
PNESYV78L19F672P,Zaira,Burcardo,11,F,false
CRTFDG62H50A246O,Angelo,Pietrangeli,28,M,true
MRNLNE14E27F776K,Alderano,Romano,12,M,false
CCCRSN06M25B033C,Ilaria,Casalodi,26,F,true
TSLMRA64E03L177W,Manuel,Bramante,11,M,false
RMNLSE16A05B592L,Paoletta,Renzi,25,F,true
SRMRMD63C48I282B,Mauro,Pizzo,26,M,true
SRDVRL88B55G467D,Filippa,Crispi,11,F,false
DNTMRN33T04B872C,Isabella,Canil,25,F,true
DSESPH95S03A451R,Bartolomeo,Caironi,15,M,false
PTRFLV84C31E172D,Valentina,Berlusconi,12,F,false
FRCNNR52D02E317L,Alessio,Scandone,22,M,true
RTHNSD43T71I497S,Adelasia,Roccabonella,12,F,false
PCCGFR81E45H985L,Eliana,Caruso,13,F,false
GRFMRS54P23B077I,Martino,Camuccini,27,M,true
CSLSRS73B67H841O,Veronica,Cardano,19,F,false
TRZDRT28M58C634M,Carla,Balla,17,F,false
CMCDNI16P25E054S,Laura,Argento,14,F,false
LDBNCI05T55G026R,Venancio,Martucci,18,M,false
SDDPLM20S15E807U,Natalia,Santorio,25,F,true
MRTLRA62R12F672B,Milena,Battaglia,18,F,false
CZZGNL40T52M362X,Eleanora,Cafarchia,27,F,true
RSSLMR04H51E537S,Michela,Gaito,17,F,false
DTTMRL91H23I739M,Ugo,Bajamonti,14,M,false
CMRNNZ20D10F482U,Lucrezia,Tuzzolino,13,F,false
PSRCCL58P22G933L,Lara,Cavanna,16,F,false
MNDCLL74S02G191E,Giacomo,Vecoli,24,M,false
CRTDNT63A57E716A,Stefania,Benussi,13,F,false
LCRMRS15B25M162R,Danilo,Boaga,20,M,true
FRRPLM34D21A222X,Sonia,Canetta,20,F,true
PZZDNL70H56I483P,Gianluca,Caccianemico,16,M,false
SNTPCC49P51G636W,Arnulfo,Marsili,19,M,true
GRSRNL50P02D564O,Iolanda,Gori,22,F,true
SRRLRN39M66C123F,Ivan,Cerquiglini,28,M,true
PCLRMD81D47H547G,Stefani,Fabrizi,13,F,false
VLGGNZ52D53B159S,Ninetta,Borzomì,28,F,true
BSSDRT56A66B996R,Pina,Carnera,13,F,false
GNNGLM24M26C335J,Gianmarco,Navone,28,M,false
GSTLDC73H28I635I,Armando,Persico,18,M,false
MEOTNO48C42E310A,Daniele,Lollobrigida,12,M,false
NTNCRL88M03A029A,Antonello,Querini,22,M,true
FRRFLP72E49B042W,Laura,Nibali,24,F,true
LDVTLC07E62A870T,Amleto,Offredi,16,M,false
SCRVNN88D70A542K,Isabella,Murialdo,29,F,true
PSCNDA40D02C136J,Dina,Capone,17,F,false
SCHRSN15E24B350I,Ninetta,Montecchi,28,F,false
BNGRSR40S07H256O,Loredana,Sokolov,28,F,true
CTRPNL25S65M367F,Tonino,Gangemi,18,M,false
CPLGRN02A54B950T,Giada,Pietrangeli,15,F,false
SCRVLT47A17G439K,Dolores,Panzera,13,F,false
MLPBCC64E63E114R,Giulia,Ammaniti,11,F,false
SNTVRC97R06L658P,Loretta,Golino,17,F,false
BLLBRR93P23A183O,Milena,Cainero,28,F,false
GRTGSI90M47I881L,Ruggero,Garibaldi,14,M,false
GLRLBC72H55A116N,Mercedes,Navarria,26,F,true
GRSVCR08C31F944N,Fulvio,Milanesi,22,M,true
FRMDLS11C17A178T,Rita,Costalonga,14,F,false
NPLMRK00H60I910V,Lucia,Torlonia,25,F,false
RSSNDD64E19L164H,Angelina,Pagliaro,11,F,false
VVNCSN99E22D906H,Tiziana,Casalodi,27,F,true
TRVLCZ41S08D355V,Filippa,Soderini,15,F,false
BRGGCT40R68L347N,Jacopo,Giorgetti,11,M,false
GTTMLA46H05G128G,Carmelo,Guidone,21,M,true
SMTSLT80D46D727H,Sophia,Cammarata,27,F,true
MTTLCU45R70A982V,Rosalia,Agazzi,12,F,false
DNSGRN99A51I973I,Annamaria,Missoni,27,F,true
STNTLL89L67I803S,Lucia,Trevisan,18,F,false
LRCLND00P52H521S,Cirillo,Natta,23,M,true
TZZLNI30S15I143X,Gionata,Ortolani,30,M,true
FRNGLI02C58H949X,Giada,Giradello,27,F,true
CRCRTR63T70I298A,Donna,Parmitano,19,F,true
PZZRMI94L24I656V,Aria,Ruberto,24,F,true
CNLCLL06R19I813H,Severino,Samele,23,M,false
GLLFRN31S06E565X,Daria,Santoro,27,F,true
PRDSLS88L59A167R,Flora,Tartaglia,22,F,true
TMSLVR64M09G756V,Allegra,Valmarana,25,F,false
FRRSTL98C25E447I,Enrico,Tasso,20,M,true
GSPGNR22B42G320H,Rodolfo,Pisani,13,M,false
BRSRCC18E53B179H,Bianca,Fioravanti,20,F,true
GHUFST74P50E818R,Giuseppe,Monduzzi,26,M,false
VVNCPN42D67H444J,Renata,Veltroni,16,F,false
BGIGRN47A54H014X,Ciro,Galtarossa,23,M,true
PNIGNR26A53E159C,Loredana,Tacchini,17,F,false
CRMSMT94L04F703G,Oreste,Cerquiglini,24,M,true
BNCDRT13B64H493U,Ubaldo,Pulci,22,M,true
CRTDIA54S14B695F,Olga,Pizzo,11,F,false
MRTVTR49R62F942R,Giuliana,Giannelli,23,F,true
FOAPRI87H58I960G,Sonia,Zaccagnini,22,F,true
FLNSTL26P03G493J,Ugolino,Capuana,20,M,true
BRCRSN88L08I712P,Matteo,Giannetti,19,M,true
RMTGRL15C05G844Q,Lazzaro,Scarpa,24,M,true
GLTLGO18E26H494S,Graziano,Magrassi,12,M,false
CCLVNN00B62A664D,Jolanda,Berrè,29,F,true
MNLLGO41T13A937S,Elladio,Tafuri,29,M,true
SLRSMN32C52C803C,Vincenza,Gargallo,13,F,false
MDCRKE45P22G047X,Marcello,Cagnotto,15,M,false
TRMGNT45M68H555H,Valentina,Amato,17,F,false
DSSFLV80H67B633W,Marta,Bellucci,29,F,false
GNVGNR60R51C922J,Liliana,Errani,30,F,true
TLDFRD21L47I472E,Amanda,Barozzi,26,F,true
FNZLSE24E06E491B,Nicolò,Ligorio,27,M,true
VCLVRL81A61G136D,Galasso,Travia,12,M,false
GRZGRL78P05D566C,Marisa,Trupiano,28,F,true
NCLLGU34L66G800E,Guido,Treccani,29,M,true
CRTRBT92T54E115L,Serafina,Gilardoni,21,F,true
GNNLMR64A51I850W,Leone,Siffredi,13,M,false
NGLPRI39R58B514D,Tullio,Amaldi,29,M,true
VRSSNN31M56A217D,Rosalia,Fischetti,22,F,true
GRTCTN68S30G955D,Rossana,Paoletti,11,F,false
RMGRCC50T63F433T,Cipriano,Errigo,21,M,true
MNDSLO59R05A315I,Marisa,Tartini,12,F,false
CTTBRC43L21E377Y,Tonino,Pasqua,20,M,false
PGNPLM64B13I236O,Gianmarco,Martucci,21,M,true
FBBFRN24S23H774G,Rosaria,Benussi,14,F,false
DNSLSN64R09B234E,Eliana,Mozart,27,F,true
PMTSTL56P23G207B,Sergius,Donà,27,M,true
SSLPRN24B27A123D,Monica,Cundari,24,F,true
BSCPRS40C61E290Z,Paloma,Mercalli,11,F,false
DBSFRC33A42G834O,Mauro,Roero,30,M,true
CSGFDC70H19C691E,Giorgia,Bonolis,19,F,false
RSSLSN53B27L689I,Severino,Mozart,27,M,true
TCCJLD96R23M260B,Nina,Monaco,17,F,false
BBGGLT43L21I594Y,Marissa,Persico,28,F,true
CMPLSN36A28H101U,Evangelista,Santoro,21,F,true
NNZSTN86A54H334L,Aurora,Notarbartolo,30,F,true
PGLGRL96H12D188O,Federica,Golino,19,F,true
BTNTNI14C27M314N,Dino,Campanella,27,M,true
MSPFBZ66E23A996X,Osvaldo,Tarantini,13,M,false
PRTVNC33E50E958V,Mirko,Giusti,26,M,true
GSSSNO38L23H186Z,Pina,Morabito,27,F,false
FRRPSL71C64E645U,Sole,Lombardi,24,F,true
FBRTNF73R48E409V,Melissa,Cheda,25,F,false
FNTDRA20B09B961B,Tina,Corcos,29,F,true
MSTMLN46S30E209K,Irma,Treves,14,F,false
TRZSNR10P18L058M,Lucrezia,Venier,19,F,true
BZZMRL45T50B425I,Saverio,Montanelli,20,M,true
JVRBNN58A64B102X,Vittorio,Villarosa,17,M,false
CRBCHL65P49L545L,Giovanni,Monduzzi,16,M,false
QSMBNN75M58M258Z,Arsenio,Panicucci,29,M,true
