persona,data,costo
BRRLCU59C53L293C,2024-08-14,15
PNMGRG06H56B868N,2024-04-01,0
DVRMRK05S58B756Q,2023-01-31,0
NCHLLL15P05G858F,2022-12-02,15
TRCMRT45R01D808I,2021-09-01,15
GRRLDC13T14D455N,2023-03-28,0
CTRCPN37H61I412G,2023-06-12,0
FRRPRN14P58F294D,2023-06-01,15
BSNNTL42A25F274Z,2021-12-09,0
CNCJLD65A12D559E,2022-12-23,15
CSTGDU23D50D998N,2021-12-09,0
DLLVTR41P57F395N,2024-07-29,0
RGNMRN03M14H011E,2024-03-13,0
CRQLPD01D43F119O,2022-07-13,15
MNTRCT28E65L771G,2022-04-03,15
CCCDNN93P09H218Y,2021-02-27,15
SNDGNT77R60B101N,2021-05-05,15
SCDNRC10E64D636A,2023-08-16,15
TRPLNE85S53F113A,2021-05-08,15
GLNMLS24B12E743X,2021-07-22,15
RTHTTN60T50E056U,2021-03-16,15
LNRHGU57C47D316J,2022-07-29,0
DSCRMI14E01E342C,2022-09-08,0
CMCGDI29E01G551M,2021-10-12,0
TSOLNR42L25C741O,2022-11-16,15
RNCRBT94P12B649H,2022-01-08,15
ZCCCLL81A06I661I,2024-12-17,15
STNSLV22P06I244P,2022-02-06,0
MRCGLR32R42B006G,2022-12-12,15
TRCMLE88C66I489Z,2021-05-27,15
TRPRNZ90P59B779K,2024-11-29,0
GLVLPD90A44G612L,2021-06-11,15
BNNGLN89M66A759K,2024-07-22,15
FLZVNL30D13B171Z,2024-12-21,15
CLVVIO39B51E573C,2021-08-14,0
SLVRMI58S08L366L,2024-03-01,0
NTNMRN33L69E520X,2024-07-15,15
FDRMME25R13A768W,2022-09-06,15
MGRTZN16S20B845P,2021-11-22,15
RSSNNI82P13L512L,2022-02-18,15
SGRGRN51C41F251N,2021-12-26,0
RLNBNN59H47C766R,2024-01-02,15
GNTGBL20S25D256P,2024-04-26,15
TLRCML89E21I314Y,2022-12-15,0
MDGRND31B59E422A,2022-12-14,15
PRNRSO66L03C595W,2024-09-21,15
BRZBNC47D30E638B,2022-01-30,0
RTLRDF98B48C480C,2021-12-11,0
MRZMRN37D09F462C,2021-11-22,0
MNTLSS00P13G577L,2022-12-01,0
GRNLSE42M15D333M,2021-03-06,0
SCTRND68R49D455Y,2023-10-30,15
DSETTN80R07B735C,2023-11-23,15
PCLMRN86H69E931J,2023-02-19,0
MZZRSL43R05M139T,2023-07-12,15
GBRCRT65C02B880I,2024-01-10,0
VNDVRL43S50A058V,2022-10-13,0
LSAGRN23E41H353T,2022-04-01,15
SCLRTI82H10F523U,2022-09-12,0
FRMGST52S56I729Y,2023-10-10,15
PLLGNR33M43F279I,2022-01-27,0
PRCNTN29T42C300I,2022-12-27,0
STRDLA75D23L174H,2022-01-17,15
DNSLRA19L08E735Q,2021-04-30,0
FBBLBT17T55F947A,2023-05-10,15
RRNGGL50B63H043S,2021-04-21,15
PSNFLP27M14F101G,2022-06-08,15
TLDGML37R50L156W,2021-04-19,0
FLLRFL99T63B867N,2024-05-27,15
TRNMDA14A46G848M,2021-07-19,15
NDAGRM64B63C143R,2022-08-14,0
SLRRNL48D24E311W,2024-03-17,0
CLVBNC31H14D310S,2024-12-13,0
GRGGNG49L70B486M,2023-05-27,0
PCLVRN59L05H971V,2021-06-08,0
BRSGSV53C68G280E,2021-03-01,15
RGGVRL85E71H792R,2023-01-30,15
TMSMME74B17G168M,2023-11-07,0
SRDLLR70L20F578G,2024-04-05,0
PRONCL46C42G110T,2021-04-25,0
CRLNNT75B18H491P,2021-05-31,0
PVNNPN84C60G445K,2022-12-16,0
MNCBNC67B09C137U,2024-10-05,0
MNCSLT13B51G063B,2024-08-27,15
TLRFDL44M47E170Q,2022-04-12,0
BNNLDI76C26C975R,2023-12-07,0
TRCGNN35R14D938V,2021-11-13,15
BLLMLN07E02A701F,2021-04-16,0
FNTGNT39D68B862I,2024-08-25,0
FGGPNI81D18L509N,2022-12-16,0
DPRLRN59E62D061K,2022-06-11,15
TCCNTN66S22E236Y,2023-02-03,15
MZZNTN65B08A670M,2024-10-18,0
MRCCLL67A14A124X,2021-02-08,15
MNTBCC66T56E934P,2022-06-20,15
BRLRCC34H58L937T,2022-01-10,0
CSSGDI68H14C857T,2023-02-07,0
BBATTN51L26B698X,2022-11-10,15
BLZGSN11L62M406N,2022-07-10,15
TPLRST17B52I690B,2023-12-21,15
SNTLNE74E19B906H,2023-12-19,0
CLBLSU47M29I839L,2022-08-22,0
SPRRFL45R13A317B,2021-10-17,0
MNTDNG65P43H132T,2023-12-03,15
VNRVNL77H19A905Y,2022-03-05,0
FRNGNE86C21E872R,2023-02-03,0
MGLVLR31D23B019O,2023-10-06,0
BRMTZN01M54D789R,2024-03-05,15
SPNFDC52D22M423Q,2024-12-14,15
GNNTNI12P03C512Y,2022-01-22,0
CLNCHL51E49I640M,2024-02-12,0
LLLVRN22R21B084T,2021-11-10,0
MGGRML68H59H949W,2024-08-03,0
BRTFLV70H66H977M,2024-04-13,15
TGLTNI47M21L728A,2023-12-20,15
RNCVNN27S64H826G,2022-05-07,15
CHNNTN58B52B015P,2023-04-22,15
FFRSLS05A71G207E,2022-08-19,15
SPRVNC31L69H723U,2024-07-18,15
SLLMTD54B13D688W,2022-07-04,15
FGGNTT13C29E759C,2021-06-14,15
GSTRMN10H45G377K,2021-01-23,15
CSCBLS48M53L437I,2023-11-11,0
PZZLCN97R12F776K,2022-02-01,0
QSMRLD52E64B826M,2021-01-04,15
BRZBLD67C66I404S,2023-07-18,0
GLDLVR93R01H459P,2024-03-24,0
SRNNNT83A27E398A,2024-03-18,0
SCRBTC06T17G122N,2022-07-29,15
GHUFRN55E04D321I,2023-06-25,0
NCLMRL60R42D185J,2022-07-03,15
CFFMSM17S69C904H,2022-10-04,0
GLTLND71E56I960B,2023-06-07,15
TRSLNI79H20F347F,2023-01-04,0
MRCNGC03M02F791Y,2023-05-31,0
GSTFRD23S69E429Q,2021-08-05,0
CHDBRC03L24F520S,2021-05-12,0
TNNNCI85P64C673Q,2021-04-09,0
BRSMRK36C56C422L,2021-07-14,0
PSQVRN60A17I599Y,2024-10-23,0
FSCTNO91P68D983W,2023-10-13,0
NGRRFL62R04I281A,2022-06-25,0
ZLORLD90D53I826X,2023-04-15,15
CNTNCI06E64M081G,2021-12-31,15
MRLCLL35D07G620M,2022-03-11,0
RBBRMI23S27L322M,2022-09-19,0
TRVTZN96E28D198C,2023-12-24,0
RNRGRN88B51I321B,2022-08-26,0
MLPGLN52S05M379M,2024-08-04,0
BRGCSR73H55A801H,2021-09-16,15
DVRMLT68S59D008Z,2024-05-18,0
RGGPRG24P50L392E,2024-08-05,15
PSNDRN71T19F906E,2022-01-01,0
PRTGCB58M43C466Y,2021-09-18,15
VLNVTR57E57G201Z,2021-06-18,0
BTAMDA49L65C958X,2022-01-13,15
MZZRFL70H29B630C,2021-08-03,15
MRCZRA74D13L686C,2021-08-03,0
NNCNPN65D66C040T,2023-06-19,0
RTCMRL84C70I088F,2024-06-11,15
MRCNTL74M02H240J,2022-09-29,15
BLLLLD93D61C430H,2022-08-19,0
VSCRMN83S14C284T,2022-10-16,0
DLLPTZ50H20L449Y,2022-01-11,0
BRMDRA94H05E422R,2022-09-01,0
BSSCLC34H46L547A,2022-12-01,15
CMRGUO54M49L191L,2022-07-06,15
BRGRSO65E16A788I,2021-11-25,0
SLLMLD57A02E761V,2024-09-15,0
SVRMLN15E29F906S,2023-06-07,0
LNTGFR77H50G590N,2021-03-17,0
FNTFLV96C51F541Z,2021-07-25,0
SGRLSU37E23E204P,2021-01-27,15
TLNGNE80C21C819O,2021-01-13,15
DTTLCN73L15I873S,2021-07-04,15
CRDPRS52M56C598K,2024-05-21,15
TRBLDC83R66H459O,2021-01-16,15
NTRFBA90R21I320X,2021-02-03,0
SRMGRG81B46I977D,2023-11-14,0
BTTMLI40S62H227Q,2022-03-02,15
FCNSMT55M24B492F,2023-11-26,0
FBNNZE82D51E168G,2023-05-24,0
TRVDLN48A52L016N,2023-07-29,0
BNSTNO63P23F557S,2022-04-13,0
MRRVTR43P60C893Y,2024-11-25,0
LGRRNF66P57I817V,2021-05-26,15
MFFGBL43E13D371V,2023-05-26,15
MTTHGU02H55C774K,2022-03-06,15
SCLTNF48S64G316F,2023-04-05,15
MRTSLS57T64I142Z,2021-02-04,15
CPLZRA52M01F548B,2022-03-11,15
SCRSLO13B09F839A,2023-02-04,15
CPCSMN19B59A881G,2024-05-17,0
TRMCNT83B13H466B,2024-07-09,0
BRSNTN92B29D574R,2021-10-30,0
MLTDIA02A29A150U,2022-03-01,15
FNTPLN95C16D338V,2023-09-29,15
RCCSNR54D30A192I,2022-12-16,15
LNGDLA04S07H166X,2021-04-14,0
LDBMDA50P59E540M,2023-11-07,0
TRNGLM64B16G148H,2022-06-12,15
PRSCNT31D13C470L,2022-11-19,15
FLRBGI59R47C506H,2023-08-28,15
BRSNNR06M22I210W,2022-03-04,0
RGNNTN10T21B861M,2023-04-16,0
SMLTRS15S13B486B,2021-06-12,0
PRODRN31C49B968K,2023-02-08,15
BNSPTR96H64A782E,2021-03-30,0
CRMCTN18R26H527L,2022-08-01,0
MSPVRC56B20L843D,2024-07-10,0
PRTRLD05B44A121B,2023-03-30,0
LNZLSS38T61D920N,2023-07-09,0
PCCNNL69M67A338S,2024-06-19,0
BRLLVR85R17F393H,2023-03-01,15
SMMNDD43C23H855F,2021-08-12,15
MNRRNZ04A50C939E,2023-01-05,0
SMNDRN11S15C867J,2021-06-26,15
SCRLCU82H48C086P,2022-02-01,15
BLLMNL22R43B978C,2022-02-08,0
TRPGUO70R54B603C,2024-12-11,15
TRTRTR45C48E989H,2022-07-21,0
PRTGBL18L23G157W,2021-07-03,15
BRSRCR14M60C879Q,2023-05-12,15
RMGRZO40R70G325M,2023-12-15,0
VNZCHR66M02F992K,2021-03-02,0
ZLOMME08L11D741N,2023-06-11,15
CBRRTR95S60E439O,2024-11-17,0
MNLLNE39H06F041Y,2022-01-20,0
BGNRTR27A60C472N,2021-05-15,0
FBBRSL05S09A437S,2022-06-17,0
VLLSNT69A48I774P,2024-11-22,0
GRNSNR18D47F310B,2024-06-05,0
NTNSYV01R29L116A,2021-03-05,15
BTTRLD18T65L024R,2022-01-09,0
JLNPRC01S25L963V,2022-07-18,0
GRRLNR83S19H781U,2022-07-07,15
LNERBT78H55L197D,2024-04-15,15
MRSRSL45S30E782V,2024-05-03,0
NDRPMP12L59I433I,2022-01-26,0
FRNDNL81B20C614E,2024-08-27,15
GSSLBT92T54F441O,2021-09-13,15
CNTGSN23T43H273S,2023-09-26,0
CCCLSE92R01F930W,2024-09-25,15
MNGMRN33A25M141R,2021-01-06,15
NNLSMT64S03L421W,2024-12-16,0
FDRTTE80T31L580A,2024-07-20,15
SPDGLI60R11D994O,2021-04-14,0
MSTLCN97E41D312G,2022-04-26,15
BSRMLN78R16M419R,2023-12-31,15
CRLCRL99M14L653N,2021-08-21,15
SNTGST50B57I451D,2023-11-07,0
MRPDNL68M07G299P,2024-04-28,0
SLNMTD08L28B417E,2023-07-15,15
PMTRND40S42I187C,2022-03-29,15
PGLBNT04B46C248D,2023-11-21,0
SBLVEA34R05B121E,2022-07-10,15
CRTDLN80C59I684Q,2022-06-15,0
TSCLLN63M30E329J,2024-09-24,0
BNDRBT06D15H213A,2023-02-15,15
SCHTLC02M64E064I,2024-01-20,0
SCHBRR62P55L554D,2024-05-19,15
GRFNNI17D26C413G,2022-01-05,0
CVNVTI95T52F359V,2023-04-22,15
BTGGRL77D21H845F,2022-08-16,0
SCLBNC98D11B109W,2023-05-16,15
GLDMRT75D01I031J,2021-08-05,0
RGNVRC38T14G771E,2022-08-06,15
NSTGRL71M09H599C,2021-11-13,15
BRGGLT93B04D940T,2023-10-16,0
VLLGRL14P30F913R,2021-05-16,15
GNNLFA77H47D412W,2024-01-09,0
VLTRSO39S14F951R,2024-08-06,0
CCCPRN06E18I062A,2022-08-06,0
NTRCSN71S20G022R,2024-04-08,0
GCCBNT29H47L907H,2022-09-20,0
NCHVNN33L01E875U,2021-03-01,15
NSTRMN24L05I448K,2021-12-23,0
PZZDNL68A24D284P,2022-07-10,0
GBBMRN72A51L815O,2021-02-24,0
STRFDL08R50E482H,2023-02-25,0
PNESYV78L19F672P,2024-03-16,15
CRTFDG62H50A246O,2022-08-18,0
MRNLNE14E27F776K,2024-03-19,15
CCCRSN06M25B033C,2024-12-23,0
TSLMRA64E03L177W,2021-01-08,15
RMNLSE16A05B592L,2023-02-22,0
SRMRMD63C48I282B,2021-11-13,0
SRDVRL88B55G467D,2023-12-08,15
DNTMRN33T04B872C,2023-03-18,0
DSESPH95S03A451R,2023-10-05,15
PTRFLV84C31E172D,2021-04-15,15
FRCNNR52D02E317L,2021-07-21,0
RTHNSD43T71I497S,2024-11-03,15
PCCGFR81E45H985L,2021-05-10,15
GRFMRS54P23B077I,2023-12-22,0
CSLSRS73B67H841O,2023-05-31,15
TRZDRT28M58C634M,2023-12-11,15
CMCDNI16P25E054S,2024-10-15,15
LDBNCI05T55G026R,2022-05-25,15
SDDPLM20S15E807U,2024-02-16,0
MRTLRA62R12F672B,2024-09-02,15
CZZGNL40T52M362X,2021-11-14,0
RSSLMR04H51E537S,2024-06-04,15
DTTMRL91H23I739M,2022-09-13,15
CMRNNZ20D10F482U,2024-07-28,15
PSRCCL58P22G933L,2022-04-11,15
MNDCLL74S02G191E,2021-01-25,15
CRTDNT63A57E716A,2024-05-05,15
LCRMRS15B25M162R,2024-07-03,0
FRRPLM34D21A222X,2024-04-16,0
PZZDNL70H56I483P,2021-05-24,15
SNTPCC49P51G636W,2021-02-02,0
GRSRNL50P02D564O,2023-11-18,0
SRRLRN39M66C123F,2024-12-25,0
PCLRMD81D47H547G,2021-05-20,15
VLGGNZ52D53B159S,2022-12-21,0
BSSDRT56A66B996R,2024-01-06,15
GNNGLM24M26C335J,2023-06-07,15
GSTLDC73H28I635I,2022-01-31,15
MEOTNO48C42E310A,2021-04-26,15
NTNCRL88M03A029A,2022-04-14,0
FRRFLP72E49B042W,2024-09-15,0
LDVTLC07E62A870T,2022-06-03,15
SCRVNN88D70A542K,2023-10-20,0
PSCNDA40D02C136J,2021-02-14,15
SCHRSN15E24B350I,2025-01-01,15
BNGRSR40S07H256O,2021-09-06,0
CTRPNL25S65M367F,2021-10-13,15
CPLGRN02A54B950T,2023-03-18,15
SCRVLT47A17G439K,2024-06-06,15
MLPBCC64E63E114R,2024-12-22,15
SNTVRC97R06L658P,2021-05-29,15
BLLBRR93P23A183O,2024-07-15,15
GRTGSI90M47I881L,2022-08-15,15
GLRLBC72H55A116N,2022-01-28,0
GRSVCR08C31F944N,2021-10-27,0
FRMDLS11C17A178T,2021-07-15,15
NPLMRK00H60I910V,2022-02-22,15
RSSNDD64E19L164H,2024-03-10,15
VVNCSN99E22D906H,2024-04-18,0
TRVLCZ41S08D355V,2024-05-12,15
BRGGCT40R68L347N,2024-09-03,15
GTTMLA46H05G128G,2021-08-20,0
SMTSLT80D46D727H,2023-04-12,0
MTTLCU45R70A982V,2024-02-04,15
DNSGRN99A51I973I,2024-12-06,0
STNTLL89L67I803S,2021-04-16,15
LRCLND00P52H521S,2023-11-03,0
TZZLNI30S15I143X,2022-03-12,0
FRNGLI02C58H949X,2021-10-13,0
CRCRTR63T70I298A,2024-03-27,0
PZZRMI94L24I656V,2022-04-27,0
CNLCLL06R19I813H,2021-02-08,15
GLLFRN31S06E565X,2023-04-20,0
PRDSLS88L59A167R,2023-05-13,0
TMSLVR64M09G756V,2023-08-08,15
FRRSTL98C25E447I,2024-04-17,0
GSPGNR22B42G320H,2022-12-16,15
BRSRCC18E53B179H,2022-11-15,0
GHUFST74P50E818R,2021-06-05,15
VVNCPN42D67H444J,2024-06-07,15
BGIGRN47A54H014X,2021-04-23,0
PNIGNR26A53E159C,2022-01-06,15
CRMSMT94L04F703G,2024-02-26,0
BNCDRT13B64H493U,2021-04-17,0
CRTDIA54S14B695F,2024-11-30,15
MRTVTR49R62F942R,2023-12-29,0
FOAPRI87H58I960G,2021-12-10,0
FLNSTL26P03G493J,2023-12-22,0
BRCRSN88L08I712P,2022-05-14,0
RMTGRL15C05G844Q,2022-04-18,0
GLTLGO18E26H494S,2022-09-28,15
CCLVNN00B62A664D,2021-11-25,0
MNLLGO41T13A937S,2024-04-06,0
SLRSMN32C52C803C,2023-02-01,15
MDCRKE45P22G047X,2024-05-02,15
TRMGNT45M68H555H,2024-12-30,15
DSSFLV80H67B633W,2024-09-02,15
GNVGNR60R51C922J,2024-01-22,0
TLDFRD21L47I472E,2024-11-23,0
FNZLSE24E06E491B,2022-12-12,0
VCLVRL81A61G136D,2021-03-06,15
GRZGRL78P05D566C,2024-05-30,0
NCLLGU34L66G800E,2023-07-13,0
CRTRBT92T54E115L,2023-05-08,0
GNNLMR64A51I850W,2021-05-20,15
NGLPRI39R58B514D,2023-10-03,0
VRSSNN31M56A217D,2023-01-08,0
GRTCTN68S30G955D,2023-10-27,15
RMGRCC50T63F433T,2022-07-10,0
MNDSLO59R05A315I,2024-10-23,15
CTTBRC43L21E377Y,2024-02-23,15
PGNPLM64B13I236O,2022-05-30,0
FBBFRN24S23H774G,2022-06-30,15
DNSLSN64R09B234E,2024-10-05,0
PMTSTL56P23G207B,2021-10-22,0
SSLPRN24B27A123D,2021-02-09,0
BSCPRS40C61E290Z,2022-02-23,15
DBSFRC33A42G834O,2024-08-30,0
CSGFDC70H19C691E,2022-05-25,15
RSSLSN53B27L689I,2021-02-21,0
TCCJLD96R23M260B,2022-09-24,15
BBGGLT43L21I594Y,2023-06-26,0
CMPLSN36A28H101U,2022-04-29,0
NNZSTN86A54H334L,2023-01-08,0
PGLGRL96H12D188O,2021-03-07,0
BTNTNI14C27M314N,2024-02-22,0
MSPFBZ66E23A996X,2021-06-02,15
PRTVNC33E50E958V,2021-09-27,0
GSSSNO38L23H186Z,2021-09-19,15
FRRPSL71C64E645U,2022-04-17,0
FBRTNF73R48E409V,2024-09-10,15
FNTDRA20B09B961B,2023-04-23,0
MSTMLN46S30E209K,2022-09-28,15
TRZSNR10P18L058M,2021-06-21,0
BZZMRL45T50B425I,2023-11-17,0
JVRBNN58A64B102X,2024-12-08,15
CRBCHL65P49L545L,2022-01-26,15
QSMBNN75M58M258Z,2021-11-21,0
VRDMLD95D23E089Z,2023-02-20,0
GRNFRC32M15F861I,2024-06-11,0
TLRMRS32P14B933V,2021-01-28,0
PGLLRN87D53F552O,2021-06-02,0
CVSNGC54P26B408E,2021-10-01,0
CRSZEI65L53I855B,2023-05-17,15
MZZRNZ49L54B854Q,2022-04-30,0
CEOCRT65S17F315V,2021-08-11,15
LCRTNI78C05A817L,2022-04-18,0
CLGRNL10C09L460C,2023-02-25,0
DLLFDL79L59L869C,2021-05-16,0
CNVMRA11B23E593N,2023-11-18,15
GGLGSI88A48E092R,2023-09-25,15
CGURSN90H30H438T,2024-07-11,0
SPNNGL32A56C559B,2022-12-03,15
BNNGGL84B60F301D,2023-09-30,15
DSULNI00C31D903Q,2024-07-31,15
NDRRMN88T17F709Z,2021-02-01,15
FOXVTR90B06A355J,2021-06-20,0
CCRMNL66B67L173X,2024-03-06,0
MNZMRN53A57A856J,2022-12-06,0
FNTMRA54L24D373M,2023-01-11,0
PNNDRA86R71B215D,2023-08-04,0
CSLGRL71M01F730K,2023-03-05,15
CTLGRG08E63C813E,2022-07-18,15
MZZLSN05P12C335M,2022-07-27,0
GRDGNR74A55I254T,2023-05-31,0
RBBLNE88R26H974K,2022-10-09,0
NVRMDA71T68I875Q,2021-09-01,0
CBCDLM00C56E743K,2024-11-10,15
CMCGNZ86D51G788E,2021-01-16,15
FGGDRA86T59I950P,2021-08-02,0
CNTFDC06C43I725F,2023-07-14,15
CCELDN20C51A360Y,2022-02-20,15
GZZCRN87T57L865P,2023-03-06,0
ZCCCLD14P19L496I,2023-01-14,15
MGLLRT14R27B716B,2021-04-19,0
MGLMRN34S69H577Z,2024-02-15,0
FRRSLV88T03I877Y,2022-03-12,15
BRSVLR74H54L812D,2024-10-05,15
ZMRGSR59M45I113V,2021-09-04,15
GNNGSV00S69E675K,2022-08-30,15
TRVPNI93B04D951Q,2021-09-16,0
GRMVRL83M59F293A,2023-03-12,15
GNNFRC10C02G826L,2024-06-08,0
RTSDIA02H01C430S,2022-08-30,15
MRGRSN81P45E818T,2023-04-02,15
SQRMLA14D11B070W,2022-03-01,15
FGGVLR22A43G528F,2023-12-03,0
FRZSLV58S58I437I,2024-09-19,0
BRSPRN10T46L294C,2024-11-15,15
RTSMTD35P24G481N,2023-05-26,15
SLLDNL81P30A820G,2023-11-02,0
PVRGNR34M70L765D,2022-08-25,15
NRDRAI14A24G084G,2024-02-12,15
CNVCLD50T14F767P,2022-04-23,0
TCCMLN49D07H114F,2021-02-05,0
RMZMLN75P25H055I,2022-05-29,0
PLTLBT13H60L122Z,2023-11-05,15
JLLGLN28R50H735W,2021-07-24,15
GHUGRL69A07M389X,2021-02-17,0
GVNGNE50B11C925I,2024-10-30,15
VRGGRG58L10B570H,2024-08-28,15
VLLGMM16T15I630S,2023-12-30,15
TSTLCN16T68D848J,2022-09-08,15
LGNSPH23C10G773G,2024-06-15,0
CMNNNZ22R11M121V,2023-10-05,15
MFFDLA13T06I951F,2023-11-05,15
PSCSMN44L59L349F,2022-05-15,15
PCCMRL51M16B384K,2024-04-23,0
DVRMLD81E10B711B,2021-04-04,0
TMBGMM48E19G872R,2021-02-24,15
CSRRMD18H57D143A,2024-12-29,15
MNZGRM57E65F836O,2022-03-17,15
LBNMLI98S51F087W,2023-10-15,0
TSSPLG56R58B819G,2023-09-24,0
LTRBNT26H43M424M,2022-10-19,0
NNZLZR85P41M314L,2021-07-12,15
TLNSPH90L02E944L,2021-01-31,15
CRVVLT38D04B945Q,2021-03-11,0
MLNPLA39L55H537Q,2023-12-16,0
VTTCRT17L20G333F,2022-11-06,15
MSCBRR69D11D300G,2023-07-01,0
LRCCRT05R08A281X,2021-04-20,0
TRPMLA89D21H151V,2024-03-23,15
MNTGSR40A46B742G,2024-03-17,0
GRRRMN71S65B788A,2022-06-28,0
PNENNI52S43I985Y,2021-11-11,15
NNLVCR32A05H978B,2024-01-25,0
LNGGBL49T18I649T,2022-12-03,15
GGLMCL92A57B813X,2022-08-12,15
RSSLLT49H21D014T,2022-04-10,0
BRNDNG02D46A359Y,2021-09-03,15
RGNDNT93R69F312X,2021-04-19,0
MSTMRA41A30F351Y,2023-04-12,15
SPNDNL85D23E128Q,2024-06-12,15
GRSSBN79T58H884A,2023-07-29,0
GHUPNL61M56C649Y,2021-01-16,15
NNCSRS60L42G795Z,2022-09-05,15
LRURSO46C16E651K,2022-09-13,15
PLMRMN93B14H001S,2021-09-06,0
MNNMRN21S21C336B,2021-09-16,15
RFFGRN47S29D711V,2021-09-13,15
MNLGNR57S64I278I,2024-12-03,0
JCZRCT77P42E072K,2023-12-06,0
GVNDRT16L60B497J,2023-09-05,0
FRCRFL34E21C002C,2023-10-15,0
TRVVRC58S19F064S,2023-02-14,0
RCCCSR04R44G751W,2022-09-05,15
FBNFBA67P01F795E,2023-02-01,15
NVRSRN67L27I955Y,2022-11-14,15
STNRMN76C17A436Q,2024-09-28,0
GRNPRR25D65L059K,2024-02-01,0
PMTGML74L64L816U,2022-03-02,15
MZZRCT11S44C189I,2021-01-31,0
TSCRMD68M45A920B,2022-11-29,15
TRCNZE96A47L797X,2023-03-15,0
VLNLDN38C65B328K,2022-01-29,15
MNDCCL16P13F687O,2023-06-23,15
GMMCTN36E06G292G,2021-08-19,0
MDCMRL78H19E114F,2023-12-10,0
NSTLRT25T17F639U,2024-01-30,15
PSCPLN43E18F184R,2023-12-17,0
LZURSR65H70B999G,2022-06-21,15
BTTRMG51P54F579V,2021-06-16,15
VRRRMN39T45D855O,2021-03-04,15
BRZPRR92A64H154K,2022-07-18,0
CHDTRS91E26L953A,2022-06-27,15
MZZRNR70B56F192U,2021-08-26,0
TSLFBZ23D10D166D,2023-09-17,15
MSCLDA59T43M280C,2021-09-29,0
BRNFLP01P15C203Q,2021-04-04,15
CMPDRT91M55C321P,2022-06-28,15
TRTGLR91C08E343K,2023-02-25,0
CTTRAI22A29F283Q,2021-12-03,15
CRERCT24E62C977S,2023-08-04,15
