codice_fiscale,nome,cognome,eta,sesso,universita
GLTSTN64P13C561G,Letizia,Sforza,27,F,Politecnico di Torino
SNSGRC45T71F106E,Ilaria,Jilani,31,F,Università di Trento
MZZMCL39T44C567T,Gianfranco,Bajardi,31,M,Politecnico di Milano
GRGMNL45P63H014I,Arnulfo,Regge,34,M,Università di Padova
GRNDMN76B66D239G,Bianca,Anichini,31,F,Politecnico di Torino
BTTRFL78H50H675I,Augusto,Nugnes,25,M,Politecnico di Milano
FNTRFL42S59H639U,Ugolino,Ferrazzi,34,M,Università di Trento
NCHMLS79L13G189Q,Gino,Calgari,24,M,Politecnico di Torino
MNTCRL41D49B486L,Luisa,Faranda,25,F,Politecnico di Milano
RCCGSP72C31L707Q,Tina,Cimini,30,F,Università di Padova
VNDGLN28B13I290T,Letizia,Liverotti,23,F,La Sapienza
NDRRSL63C13I202Q,Vanessa,Meucci,18,F,Università di Trento
MZZGFR53P55L172G,Marta,Mondaini,33,F,Università di Trento
RTCNCL38L66I899C,Adriana,Geraci,29,F,La Sapienza
PRZMRL59P49I644E,Jolanda,Canil,21,F,La Sapienza
LPPGLT97H11F337Z,Bartolomeo,Brugnaro,20,M,Università di Padova
BTNSLS85C60D184F,Elvira,Panatta,26,F,Politecnico di Torino
GRGVNL79B28F146O,Zaira,Tafuri,26,F,Università di Trento
DNSRNT83L67A970K,Paoletta,Golgi,34,F,Politecnico di Torino
BTTPRC08B07B138D,Arnaldo,Borgia,29,M,La Sapienza
CRSMLS07D11A110I,Ivo,Dandolo,25,M,Università di Padova
GLLBRR31M49I984X,Giampaolo,Niscoromni,22,M,Università di Trento
NDRVNS02S03G415L,Geronimo,Sommaruga,19,M,Università di Trento
MRTBLS86A41G943K,Luigina,Borromeo,28,F,Università di Padova
FRRCLD00E56F239H,Valentina,Tarantino,19,F,Università di Trento
RCCSTN11M20M361D,Atenulf,Gregori,18,M,Università di Trento
SCRRMD90P69E498W,Daniele,Ramazzotti,32,M,Università di Padova
BSSBTN30R24B932K,Dario,Volta,32,M,Università di Trento
GNNGSN40E59G619K,Luchino,Rismondo,22,M,Politecnico di Torino
PSCBLD77S61D548L,Santino,Maffei,23,M,La Sapienza
CCRGSN77L53A601X,Eleanora,Fieramosca,28,F,Politecnico di Torino
TMBNGL50D47I923O,Isa,Giannuzzi,20,F,Politecnico di Torino
NVNFRN56R43E924F,Cesare,Vivaldi,19,M,Università di Trento
CSTTNI63R20E791N,Nicola,Stefanelli,32,M,Politecnico di Milano
MCCLGN24M22H920Z,Roberto,Paolini,19,M,Politecnico di Milano
